Category: Business & Industrial

Week,Netflix: (United States)
2014-11-09,24
2014-11-16,26
2014-11-23,25
2014-11-30,23
2014-12-07,23
2014-12-14,23
2014-12-21,28
2014-12-28,27
2015-01-04,24
2015-01-11,28
2015-01-18,27
2015-01-25,24
2015-02-01,26
2015-02-08,24
2015-02-15,25
2015-02-22,30
2015-03-01,27
2015-03-08,25
2015-03-15,27
2015-03-22,26
2015-03-29,26
2015-04-05,26
2015-04-12,31
2015-04-19,28
2015-04-26,25
2015-05-03,23
2015-05-10,25
2015-05-17,25
2015-05-24,26
2015-05-31,23
2015-06-07,26
2015-06-14,26
2015-06-21,30
2015-06-28,28
2015-07-05,29
2015-07-12,37
2015-07-19,33
2015-07-26,33
2015-08-02,43
2015-08-09,33
2015-08-16,32
2015-08-23,40
2015-08-30,36
2015-09-06,31
2015-09-13,29
2015-09-20,30
2015-09-27,32
2015-10-04,27
2015-10-11,31
2015-10-18,26
2015-10-25,27
2015-11-01,26
2015-11-08,26
2015-11-15,27
2015-11-22,24
2015-11-29,27
2015-12-06,30
2015-12-13,27
2015-12-20,29
2015-12-27,32
2016-01-03,34
2016-01-10,32
2016-01-17,34
2016-01-24,32
2016-01-31,30
2016-02-07,28
2016-02-14,30
2016-02-21,29
2016-02-28,31
2016-03-06,26
2016-03-13,23
2016-03-20,23
2016-03-27,25
2016-04-03,24
2016-04-10,25
2016-04-17,26
2016-04-24,21
2016-05-01,22
2016-05-08,20
2016-05-15,22
2016-05-22,23
2016-05-29,23
2016-06-05,23
2016-06-12,24
2016-06-19,24
2016-06-26,24
2016-07-03,25
2016-07-10,24
2016-07-17,28
2016-07-24,24
2016-07-31,23
2016-08-07,20
2016-08-14,17
2016-08-21,20
2016-08-28,20
2016-09-04,22
2016-09-11,22
2016-09-18,24
2016-09-25,23
2016-10-02,23
2016-10-09,23
2016-10-16,29
2016-10-23,24
2016-10-30,23
2016-11-06,21
2016-11-13,23
2016-11-20,23
2016-11-27,25
2016-12-04,24
2016-12-11,25
2016-12-18,23
2016-12-25,23
2017-01-01,26
2017-01-08,29
2017-01-15,31
2017-01-22,28
2017-01-29,27
2017-02-05,26
2017-02-12,26
2017-02-19,24
2017-02-26,30
2017-03-05,23
2017-03-12,25
2017-03-19,27
2017-03-26,27
2017-04-02,27
2017-04-09,25
2017-04-16,29
2017-04-23,28
2017-04-30,27
2017-05-07,27
2017-05-14,24
2017-05-21,24
2017-05-28,27
2017-06-04,23
2017-06-11,25
2017-06-18,25
2017-06-25,26
2017-07-02,23
2017-07-09,28
2017-07-16,36
2017-07-23,32
2017-07-30,31
2017-08-06,31
2017-08-13,25
2017-08-20,26
2017-08-27,24
2017-09-03,24
2017-09-10,26
2017-09-17,28
2017-09-24,27
2017-10-01,30
2017-10-08,51
2017-10-15,81
2017-10-22,80
2017-10-29,86
2017-11-05,74
2017-11-12,78
2017-11-19,80
2017-11-26,67
2017-12-03,41
2017-12-10,62
2017-12-17,85
2017-12-24,100
2017-12-31,74
2018-01-07,81
2018-01-14,71
2018-01-21,81
2018-01-28,75
2018-02-04,71
2018-02-11,64
2018-02-18,65
2018-02-25,67
2018-03-04,74
2018-03-11,64
2018-03-18,64
2018-03-25,64
2018-04-01,68
2018-04-08,72
2018-04-15,77
2018-04-22,69
2018-04-29,65
2018-05-06,63
2018-05-13,68
2018-05-20,82
2018-05-27,78
2018-06-03,67
2018-06-10,68
2018-06-17,77
2018-06-24,71
2018-07-01,66
2018-07-08,74
2018-07-15,78
2018-07-22,75
2018-07-29,78
2018-08-05,71
2018-08-12,77
2018-08-19,76
2018-08-26,76
2018-09-02,77
2018-09-09,75
2018-09-16,75
2018-09-23,67
2018-09-30,70
2018-10-07,76
2018-10-14,86
2018-10-21,83
2018-10-28,74
2018-11-04,46
2018-11-11,68
2018-11-18,73
2018-11-25,68
2018-12-02,68
2018-12-09,71
2018-12-16,82
2018-12-23,73
2018-12-30,71
2019-01-06,85
2019-01-13,81
2019-01-20,79
2019-01-27,73
2019-02-03,62
2019-02-10,69
2019-02-17,68
2019-02-24,72
2019-03-03,56
2019-03-10,56
2019-03-17,56
2019-03-24,48
2019-03-31,38
2019-04-07,36
2019-04-14,36
2019-04-21,36
2019-04-28,35
2019-05-05,34
2019-05-12,32
2019-05-19,33
2019-05-26,35
2019-06-02,34
2019-06-09,33
2019-06-16,32
2019-06-23,34
2019-06-30,35
2019-07-07,43
2019-07-14,47
2019-07-21,44
2019-07-28,51
2019-08-04,35
2019-08-11,33
2019-08-18,35
2019-08-25,34
2019-09-01,31
2019-09-08,35
2019-09-15,35
2019-09-22,37
2019-09-29,32
2019-10-06,32
2019-10-13,37
2019-10-20,33
2019-10-27,32
2019-11-03,30
