Category: News

Week,Netflix: (United States)
2014-11-09,37
2014-11-16,39
2014-11-23,37
2014-11-30,33
2014-12-07,36
2014-12-14,38
2014-12-21,42
2014-12-28,50
2015-01-04,46
2015-01-11,37
2015-01-18,42
2015-01-25,46
2015-02-01,41
2015-02-08,42
2015-02-15,43
2015-02-22,46
2015-03-01,48
2015-03-08,37
2015-03-15,36
2015-03-22,35
2015-03-29,33
2015-04-05,39
2015-04-12,46
2015-04-19,44
2015-04-26,39
2015-05-03,34
2015-05-10,36
2015-05-17,34
2015-05-24,40
2015-05-31,40
2015-06-07,41
2015-06-14,43
2015-06-21,50
2015-06-28,44
2015-07-05,40
2015-07-12,62
2015-07-19,50
2015-07-26,44
2015-08-02,56
2015-08-09,49
2015-08-16,44
2015-08-23,64
2015-08-30,57
2015-09-06,49
2015-09-13,48
2015-09-20,45
2015-09-27,46
2015-10-04,44
2015-10-11,53
2015-10-18,45
2015-10-25,44
2015-11-01,43
2015-11-08,43
2015-11-15,43
2015-11-22,45
2015-11-29,39
2015-12-06,40
2015-12-13,42
2015-12-20,49
2015-12-27,50
2016-01-03,51
2016-01-10,47
2016-01-17,59
2016-01-24,50
2016-01-31,50
2016-02-07,46
2016-02-14,44
2016-02-21,46
2016-02-28,50
2016-03-06,44
2016-03-13,40
2016-03-20,40
2016-03-27,46
2016-04-03,43
2016-04-10,39
2016-04-17,43
2016-04-24,36
2016-05-01,37
2016-05-08,35
2016-05-15,34
2016-05-22,39
2016-05-29,39
2016-06-05,38
2016-06-12,35
2016-06-19,32
2016-06-26,35
2016-07-03,35
2016-07-10,35
2016-07-17,51
2016-07-24,42
2016-07-31,34
2016-08-07,29
2016-08-14,29
2016-08-21,28
2016-08-28,34
2016-09-04,31
2016-09-11,29
2016-09-18,33
2016-09-25,41
2016-10-02,43
2016-10-09,42
2016-10-16,53
2016-10-23,38
2016-10-30,43
2016-11-06,68
2016-11-13,35
2016-11-20,33
2016-11-27,35
2016-12-04,32
2016-12-11,34
2016-12-18,35
2016-12-25,39
2017-01-01,42
2017-01-08,43
2017-01-15,51
2017-01-22,42
2017-01-29,43
2017-02-05,41
2017-02-12,39
2017-02-19,34
2017-02-26,41
2017-03-05,34
2017-03-12,40
2017-03-19,38
2017-03-26,39
2017-04-02,34
2017-04-09,32
2017-04-16,38
2017-04-23,42
2017-04-30,41
2017-05-07,37
2017-05-14,35
2017-05-21,37
2017-05-28,39
2017-06-04,32
2017-06-11,36
2017-06-18,37
2017-06-25,39
2017-07-02,38
2017-07-09,40
2017-07-16,53
2017-07-23,43
2017-07-30,45
2017-08-06,44
2017-08-13,38
2017-08-20,36
2017-08-27,34
2017-09-03,37
2017-09-10,34
2017-09-17,37
2017-09-24,37
2017-10-01,36
2017-10-08,36
2017-10-15,46
2017-10-22,37
2017-10-29,45
2017-11-05,39
2017-11-12,39
2017-11-19,58
2017-11-26,51
2017-12-03,49
2017-12-10,45
2017-12-17,46
2017-12-24,50
2017-12-31,58
2018-01-07,54
2018-01-14,54
2018-01-21,71
2018-01-28,59
2018-02-04,61
2018-02-11,50
2018-02-18,49
2018-02-25,54
2018-03-04,59
2018-03-11,56
2018-03-18,56
2018-03-25,55
2018-04-01,59
2018-04-08,60
2018-04-15,69
2018-04-22,56
2018-04-29,54
2018-05-06,50
2018-05-13,48
2018-05-20,56
2018-05-27,56
2018-06-03,50
2018-06-10,54
2018-06-17,58
2018-06-24,53
2018-07-01,53
2018-07-08,59
2018-07-15,84
2018-07-22,61
2018-07-29,63
2018-08-05,55
2018-08-12,53
2018-08-19,49
2018-08-26,55
2018-09-02,53
2018-09-09,52
2018-09-16,49
2018-09-23,50
2018-09-30,50
2018-10-07,65
2018-10-14,96
2018-10-21,85
2018-10-28,71
2018-11-04,63
2018-11-11,55
2018-11-18,55
2018-11-25,56
2018-12-02,57
2018-12-09,60
2018-12-16,65
2018-12-23,79
2018-12-30,80
2019-01-06,78
2019-01-13,100
2019-01-20,78
2019-01-27,79
2019-02-03,60
2019-02-10,64
2019-02-17,58
2019-02-24,53
2019-03-03,57
2019-03-10,56
2019-03-17,61
2019-03-24,54
2019-03-31,51
2019-04-07,49
2019-04-14,57
2019-04-21,48
2019-04-28,54
2019-05-05,52
2019-05-12,50
2019-05-19,51
2019-05-26,61
2019-06-02,56
2019-06-09,54
2019-06-16,58
2019-06-23,58
2019-06-30,51
2019-07-07,54
2019-07-14,69
2019-07-21,52
2019-07-28,53
2019-08-04,49
2019-08-11,48
2019-08-18,51
2019-08-25,48
2019-09-01,48
2019-09-08,49
2019-09-15,51
2019-09-22,50
2019-09-29,51
2019-10-06,48
2019-10-13,60
2019-10-20,49
2019-10-27,49
2019-11-03,52
