Category: Science

Week,Netflix: (United States)
2014-11-09,49
2014-11-16,58
2014-11-23,51
2014-11-30,54
2014-12-07,54
2014-12-14,57
2014-12-21,59
2014-12-28,53
2015-01-04,59
2015-01-11,64
2015-01-18,54
2015-01-25,57
2015-02-01,64
2015-02-08,61
2015-02-15,61
2015-02-22,57
2015-03-01,56
2015-03-08,55
2015-03-15,61
2015-03-22,62
2015-03-29,57
2015-04-05,54
2015-04-12,59
2015-04-19,64
2015-04-26,57
2015-05-03,56
2015-05-10,60
2015-05-17,73
2015-05-24,63
2015-05-31,63
2015-06-07,54
2015-06-14,53
2015-06-21,53
2015-06-28,57
2015-07-05,49
2015-07-12,56
2015-07-19,51
2015-07-26,50
2015-08-02,57
2015-08-09,58
2015-08-16,54
2015-08-23,70
2015-08-30,67
2015-09-06,65
2015-09-13,66
2015-09-20,70
2015-09-27,88
2015-10-04,68
2015-10-11,68
2015-10-18,68
2015-10-25,60
2015-11-01,60
2015-11-08,69
2015-11-15,65
2015-11-22,60
2015-11-29,62
2015-12-06,65
2015-12-13,61
2015-12-20,55
2015-12-27,53
2016-01-03,61
2016-01-10,58
2016-01-17,67
2016-01-24,54
2016-01-31,60
2016-02-07,55
2016-02-14,59
2016-02-21,59
2016-02-28,53
2016-03-06,57
2016-03-13,55
2016-03-20,63
2016-03-27,53
2016-04-03,54
2016-04-10,60
2016-04-17,58
2016-04-24,48
2016-05-01,53
2016-05-08,54
2016-05-15,53
2016-05-22,45
2016-05-29,43
2016-06-05,41
2016-06-12,38
2016-06-19,38
2016-06-26,35
2016-07-03,34
2016-07-10,31
2016-07-17,36
2016-07-24,36
2016-07-31,40
2016-08-07,32
2016-08-14,42
2016-08-21,48
2016-08-28,60
2016-09-04,58
2016-09-11,56
2016-09-18,58
2016-09-25,60
2016-10-02,56
2016-10-09,50
2016-10-16,57
2016-10-23,55
2016-10-30,53
2016-11-06,44
2016-11-13,55
2016-11-20,49
2016-11-27,56
2016-12-04,59
2016-12-11,62
2016-12-18,53
2016-12-25,49
2017-01-01,64
2017-01-08,56
2017-01-15,55
2017-01-22,57
2017-01-29,54
2017-02-05,67
2017-02-12,63
2017-02-19,60
2017-02-26,62
2017-03-05,59
2017-03-12,56
2017-03-19,66
2017-03-26,74
2017-04-02,66
2017-04-09,64
2017-04-16,91
2017-04-23,100
2017-04-30,79
2017-05-07,66
2017-05-14,57
2017-05-21,59
2017-05-28,51
2017-06-04,44
2017-06-11,45
2017-06-18,44
2017-06-25,41
2017-07-02,44
2017-07-09,41
2017-07-16,48
2017-07-23,51
2017-07-30,49
2017-08-06,50
2017-08-13,58
2017-08-20,74
2017-08-27,49
2017-09-03,51
2017-09-10,58
2017-09-17,56
2017-09-24,58
2017-10-01,60
2017-10-08,55
2017-10-15,55
2017-10-22,57
2017-10-29,64
2017-11-05,53
2017-11-12,58
2017-11-19,55
2017-11-26,59
2017-12-03,66
2017-12-10,65
2017-12-17,60
2017-12-24,52
2017-12-31,56
2018-01-07,65
2018-01-14,63
2018-01-21,66
2018-01-28,65
2018-02-04,65
2018-02-11,65
2018-02-18,61
2018-02-25,67
2018-03-04,72
2018-03-11,82
2018-03-18,63
2018-03-25,66
2018-04-01,63
2018-04-08,60
2018-04-15,65
2018-04-22,59
2018-04-29,60
2018-05-06,64
2018-05-13,65
2018-05-20,70
2018-05-27,60
2018-06-03,56
2018-06-10,58
2018-06-17,55
2018-06-24,73
2018-07-01,64
2018-07-08,49
2018-07-15,48
2018-07-22,52
2018-07-29,54
2018-08-05,52
2018-08-12,49
2018-08-19,53
2018-08-26,63
2018-09-02,64
2018-09-09,63
2018-09-16,62
2018-09-23,64
2018-09-30,63
2018-10-07,62
2018-10-14,64
2018-10-21,68
2018-10-28,63
2018-11-04,57
2018-11-11,59
2018-11-18,55
2018-11-25,56
2018-12-02,67
2018-12-09,60
2018-12-16,68
2018-12-23,64
2018-12-30,80
2019-01-06,71
2019-01-13,85
2019-01-20,84
2019-01-27,91
2019-02-03,66
2019-02-10,66
2019-02-17,65
2019-02-24,63
2019-03-03,58
2019-03-10,65
2019-03-17,67
2019-03-24,57
2019-03-31,66
2019-04-07,87
2019-04-14,60
2019-04-21,66
2019-04-28,58
2019-05-05,63
2019-05-12,70
2019-05-19,64
2019-05-26,67
2019-06-02,59
2019-06-09,48
2019-06-16,45
2019-06-23,43
2019-06-30,44
2019-07-07,53
2019-07-14,63
2019-07-21,47
2019-07-28,49
2019-08-04,46
2019-08-11,51
2019-08-18,56
2019-08-25,60
2019-09-01,58
2019-09-08,66
2019-09-15,72
2019-09-22,66
2019-09-29,68
2019-10-06,60
2019-10-13,62
2019-10-20,61
2019-10-27,60
2019-11-03,55
