Category: Arts & Entertainment

Week,Netflix: (United States)
2014-11-09,67
2014-11-16,67
2014-11-23,77
2014-11-30,69
2014-12-07,67
2014-12-14,73
2014-12-21,94
2014-12-28,100
2015-01-04,79
2015-01-11,72
2015-01-18,75
2015-01-25,74
2015-02-01,74
2015-02-08,67
2015-02-15,74
2015-02-22,72
2015-03-01,73
2015-03-08,67
2015-03-15,66
2015-03-22,70
2015-03-29,68
2015-04-05,71
2015-04-12,69
2015-04-19,69
2015-04-26,65
2015-05-03,65
2015-05-10,67
2015-05-17,71
2015-05-24,76
2015-05-31,74
2015-06-07,76
2015-06-14,80
2015-06-21,80
2015-06-28,82
2015-07-05,77
2015-07-12,77
2015-07-19,77
2015-07-26,77
2015-08-02,77
2015-08-09,76
2015-08-16,76
2015-08-23,76
2015-08-30,76
2015-09-06,77
2015-09-13,69
2015-09-20,74
2015-09-27,76
2015-10-04,74
2015-10-11,75
2015-10-18,68
2015-10-25,70
2015-11-01,69
2015-11-08,68
2015-11-15,67
2015-11-22,78
2015-11-29,66
2015-12-06,65
2015-12-13,71
2015-12-20,88
2015-12-27,94
2016-01-03,74
2016-01-10,67
2016-01-17,75
2016-01-24,66
2016-01-31,61
2016-02-07,56
2016-02-14,62
2016-02-21,63
2016-02-28,62
2016-03-06,59
2016-03-13,59
2016-03-20,62
2016-03-27,63
2016-04-03,59
2016-04-10,55
2016-04-17,52
2016-04-24,53
2016-05-01,54
2016-05-08,54
2016-05-15,56
2016-05-22,59
2016-05-29,64
2016-06-05,59
2016-06-12,59
2016-06-19,62
2016-06-26,61
2016-07-03,61
2016-07-10,58
2016-07-17,60
2016-07-24,60
2016-07-31,61
2016-08-07,53
2016-08-14,55
2016-08-21,59
2016-08-28,61
2016-09-04,63
2016-09-11,57
2016-09-18,58
2016-09-25,62
2016-10-02,61
2016-10-09,57
2016-10-16,56
2016-10-23,55
2016-10-30,55
2016-11-06,51
2016-11-13,53
2016-11-20,67
2016-11-27,57
2016-12-04,55
2016-12-11,59
2016-12-18,65
2016-12-25,73
2017-01-01,71
2017-01-08,63
2017-01-15,62
2017-01-22,58
2017-01-29,57
2017-02-05,56
2017-02-12,54
2017-02-19,54
2017-02-26,55
2017-03-05,52
2017-03-12,58
2017-03-19,63
2017-03-26,61
2017-04-02,60
2017-04-09,58
2017-04-16,56
2017-04-23,53
2017-04-30,55
2017-05-07,52
2017-05-14,52
2017-05-21,56
2017-05-28,60
2017-06-04,54
2017-06-11,55
2017-06-18,58
2017-06-25,62
2017-07-02,63
2017-07-09,58
2017-07-16,59
2017-07-23,60
2017-07-30,59
2017-08-06,59
2017-08-13,56
2017-08-20,56
2017-08-27,58
2017-09-03,57
2017-09-10,51
2017-09-17,53
2017-09-24,54
2017-10-01,55
2017-10-08,57
2017-10-15,56
2017-10-22,59
2017-10-29,61
2017-11-05,57
2017-11-12,58
2017-11-19,71
2017-11-26,59
2017-12-03,63
2017-12-10,60
2017-12-17,71
2017-12-24,87
2017-12-31,80
2018-01-07,67
2018-01-14,67
2018-01-21,64
2018-01-28,62
2018-02-04,59
2018-02-11,59
2018-02-18,62
2018-02-25,62
2018-03-04,63
2018-03-11,61
2018-03-18,62
2018-03-25,63
2018-04-01,64
2018-04-08,58
2018-04-15,59
2018-04-22,57
2018-04-29,55
2018-05-06,56
2018-05-13,61
2018-05-20,64
2018-05-27,68
2018-06-03,61
2018-06-10,64
2018-06-17,59
2018-06-24,59
2018-07-01,65
2018-07-08,57
2018-07-15,58
2018-07-22,63
2018-07-29,63
2018-08-05,59
2018-08-12,61
2018-08-19,62
2018-08-26,60
2018-09-02,62
2018-09-09,55
2018-09-16,58
2018-09-23,57
2018-09-30,56
2018-10-07,57
2018-10-14,59
2018-10-21,61
2018-10-28,64
2018-11-04,54
2018-11-11,55
2018-11-18,63
2018-11-25,55
2018-12-02,59
2018-12-09,59
2018-12-16,65
2018-12-23,94
2018-12-30,93
2019-01-06,78
2019-01-13,81
2019-01-20,80
2019-01-27,73
2019-02-03,61
2019-02-10,63
2019-02-17,64
2019-02-24,58
2019-03-03,59
2019-03-10,58
2019-03-17,58
2019-03-24,57
2019-03-31,58
2019-04-07,55
2019-04-14,58
2019-04-21,56
2019-04-28,58
2019-05-05,58
2019-05-12,57
2019-05-19,60
2019-05-26,69
2019-06-02,63
2019-06-09,61
2019-06-16,64
2019-06-23,64
2019-06-30,65
2019-07-07,63
2019-07-14,62
2019-07-21,62
2019-07-28,61
2019-08-04,58
2019-08-11,59
2019-08-18,59
2019-08-25,59
2019-09-01,59
2019-09-08,54
2019-09-15,59
2019-09-22,56
2019-09-29,56
2019-10-06,58
2019-10-13,55
2019-10-20,58
2019-10-27,60
2019-11-03,60
