Category: Arts & Entertainment

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2014-11-09,67,16,<1,<1
2014-11-16,67,15,<1,<1
2014-11-23,77,16,<1,1
2014-11-30,69,15,<1,1
2014-12-07,67,15,<1,<1
2014-12-14,73,14,<1,1
2014-12-21,94,16,<1,1
2014-12-28,100,16,<1,1
2015-01-04,79,15,<1,1
2015-01-11,72,15,<1,1
2015-01-18,75,15,<1,1
2015-01-25,74,15,<1,1
2015-02-01,74,14,<1,1
2015-02-08,67,14,<1,<1
2015-02-15,74,17,<1,1
2015-02-22,72,15,<1,<1
2015-03-01,73,15,<1,<1
2015-03-08,67,15,<1,1
2015-03-15,66,15,<1,1
2015-03-22,70,15,<1,1
2015-03-29,68,14,<1,1
2015-04-05,71,14,<1,1
2015-04-12,69,13,<1,1
2015-04-19,69,13,<1,1
2015-04-26,65,14,<1,1
2015-05-03,65,13,<1,<1
2015-05-10,67,13,<1,1
2015-05-17,71,13,<1,1
2015-05-24,76,13,<1,1
2015-05-31,74,13,<1,1
2015-06-07,76,12,<1,1
2015-06-14,80,12,<1,1
2015-06-21,80,13,<1,1
2015-06-28,82,13,<1,1
2015-07-05,77,13,<1,1
2015-07-12,77,13,<1,1
2015-07-19,77,13,<1,1
2015-07-26,77,13,<1,1
2015-08-02,77,12,<1,1
2015-08-09,76,12,<1,1
2015-08-16,76,12,<1,1
2015-08-23,76,12,<1,1
2015-08-30,76,12,<1,1
2015-09-06,77,12,<1,1
2015-09-13,69,12,<1,1
2015-09-20,74,14,<1,1
2015-09-27,76,15,<1,1
2015-10-04,74,15,<1,1
2015-10-11,75,15,<1,1
2015-10-18,68,15,<1,1
2015-10-25,70,15,<1,1
2015-11-01,69,15,<1,1
2015-11-08,68,14,<1,1
2015-11-15,67,14,<1,1
2015-11-22,78,15,<1,1
2015-11-29,66,14,<1,1
2015-12-06,65,14,<1,1
2015-12-13,71,13,<1,1
2015-12-20,88,15,1,1
2015-12-27,94,16,<1,1
2016-01-03,74,13,<1,1
2016-01-10,67,12,<1,1
2016-01-17,75,13,<1,1
2016-01-24,66,13,<1,1
2016-01-31,61,12,<1,1
2016-02-07,56,11,<1,1
2016-02-14,62,14,<1,1
2016-02-21,63,12,<1,1
2016-02-28,62,11,<1,1
2016-03-06,59,11,<1,1
2016-03-13,59,11,<1,1
2016-03-20,62,12,<1,1
2016-03-27,63,13,<1,1
2016-04-03,59,12,<1,1
2016-04-10,55,11,<1,1
2016-04-17,52,11,<1,1
2016-04-24,53,10,<1,1
2016-05-01,54,11,<1,1
2016-05-08,54,11,<1,1
2016-05-15,56,11,<1,1
2016-05-22,59,11,<1,1
2016-05-29,64,11,<1,1
2016-06-05,59,10,<1,1
2016-06-12,59,10,<1,1
2016-06-19,62,10,<1,1
2016-06-26,61,10,<1,1
2016-07-03,61,10,<1,1
2016-07-10,58,9,<1,1
2016-07-17,60,9,<1,<1
2016-07-24,60,10,<1,1
2016-07-31,61,10,<1,1
2016-08-07,53,9,<1,1
2016-08-14,55,9,<1,1
2016-08-21,59,9,<1,<1
2016-08-28,61,9,<1,1
2016-09-04,63,9,<1,1
2016-09-11,57,9,<1,1
2016-09-18,58,10,<1,1
2016-09-25,62,11,<1,1
2016-10-02,61,10,<1,1
2016-10-09,57,10,<1,1
2016-10-16,56,10,<1,1
2016-10-23,55,10,<1,1
2016-10-30,55,10,<1,1
2016-11-06,51,8,<1,<1
2016-11-13,53,9,<1,<1
2016-11-20,67,10,<1,1
2016-11-27,57,9,<1,1
2016-12-04,55,9,<1,1
2016-12-11,59,8,<1,1
2016-12-18,65,9,<1,1
