Category: News

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2014-11-09,35,9,<1,1
2014-11-16,37,10,<1,3
2014-11-23,38,11,<1,2
2014-11-30,34,7,<1,2
2014-12-07,38,9,<1,1
2014-12-14,37,8,<1,2
2014-12-21,47,10,1,3
2014-12-28,48,11,<1,4
2015-01-04,44,10,1,3
2015-01-11,40,10,1,2
2015-01-18,39,7,<1,2
2015-01-25,45,10,1,3
2015-02-01,43,9,<1,1
2015-02-08,41,6,<1,1
2015-02-15,41,11,<1,2
2015-02-22,46,8,<1,2
2015-03-01,48,10,1,1
2015-03-08,34,9,<1,3
2015-03-15,35,9,<1,3
2015-03-22,36,10,1,3
2015-03-29,35,6,1,2
2015-04-05,35,10,<1,2
2015-04-12,44,9,<1,2
2015-04-19,43,10,<1,3
2015-04-26,39,10,<1,2
2015-05-03,32,8,1,2
2015-05-10,35,7,<1,1
2015-05-17,33,10,1,2
2015-05-24,40,7,<1,2
2015-05-31,38,9,1,2
2015-06-07,43,6,1,2
2015-06-14,44,8,<1,2
2015-06-21,51,8,<1,1
2015-06-28,44,8,<1,2
2015-07-05,43,6,1,2
2015-07-12,60,9,1,2
2015-07-19,46,6,<1,2
2015-07-26,42,5,1,3
2015-08-02,51,9,1,5
2015-08-09,43,7,1,3
2015-08-16,44,6,1,2
2015-08-23,65,8,<1,2
2015-08-30,57,9,<1,2
2015-09-06,48,6,1,7
2015-09-13,47,7,1,6
2015-09-20,46,8,1,3
2015-09-27,47,7,<1,2
2015-10-04,46,8,<1,2
2015-10-11,50,10,<1,6
2015-10-18,42,8,1,3
2015-10-25,44,9,<1,7
2015-11-01,40,7,1,5
2015-11-08,40,7,<1,4
2015-11-15,42,9,<1,4
2015-11-22,42,8,1,4
2015-11-29,39,10,<1,3
2015-12-06,40,12,1,2
2015-12-13,45,8,1,4
2015-12-20,48,9,<1,4
2015-12-27,45,7,1,4
2016-01-03,46,7,1,3
2016-01-10,43,7,1,4
2016-01-17,60,10,1,3
2016-01-24,45,8,<1,4
2016-01-31,46,6,1,3
2016-02-07,45,8,1,4
2016-02-14,43,12,1,3
2016-02-21,44,10,1,4
2016-02-28,52,10,1,6
2016-03-06,43,11,1,2
2016-03-13,39,8,<1,3
2016-03-20,39,9,1,3
2016-03-27,44,10,<1,3
2016-04-03,43,9,1,2
2016-04-10,41,8,1,3
2016-04-17,42,7,1,1
2016-04-24,34,7,<1,2
2016-05-01,34,8,1,2
2016-05-08,33,7,<1,2
2016-05-15,33,7,1,1
2016-05-22,36,8,<1,2
2016-05-29,38,7,1,2
2016-06-05,39,6,1,2
2016-06-12,34,5,1,3
2016-06-19,30,5,<1,3
2016-06-26,33,6,1,1
2016-07-03,37,6,1,2
2016-07-10,35,6,1,4
2016-07-17,51,8,1,3
2016-07-24,40,6,1,4
2016-07-31,36,8,1,2
2016-08-07,27,5,1,2
2016-08-14,29,4,<1,1
2016-08-21,29,6,1,1
2016-08-28,33,6,1,2
2016-09-04,33,6,<1,3
2016-09-11,29,6,1,2
2016-09-18,34,6,1,2
2016-09-25,41,12,1,7
2016-10-02,43,7,1,4
2016-10-09,41,11,1,4
2016-10-16,52,10,1,3
2016-10-23,40,7,1,4
2016-10-30,39,7,1,3
2016-11-06,74,15,2,10
2016-11-13,35,7,1,2
2016-11-20,33,6,1,3
2016-11-27,35,5,1,3
2016-12-04,32,6,1,2
2016-12-11,33,4,1,2
2016-12-18,34,7,1,2
2016-12-25,37,6,1,3
2017-01-01,42,6,1,2
2017-01-08,44,8,1,4
2017-01-15,52,8,2,3
2017-01-22,39,7,1,3
2017-01-29,40,7,1,2
2017-02-05,40,8,1,2
2017-02-12,40,9,1,2
2017-02-19,34,6,<1,2
2017-02-26,38,7,1,2
2017-03-05,34,7,1,2
2017-03-12,41,6,1,2
2017-03-19,35,8,1,2
