Category: Finance

Week,Netflix: (United States)
2014-11-09,18
2014-11-16,18
2014-11-23,18
2014-11-30,19
2014-12-07,21
2014-12-14,20
2014-12-21,21
2014-12-28,25
2015-01-04,23
2015-01-11,22
2015-01-18,29
2015-01-25,25
2015-02-01,26
2015-02-08,23
2015-02-15,20
2015-02-22,22
2015-03-01,24
2015-03-08,19
2015-03-15,21
2015-03-22,20
2015-03-29,19
2015-04-05,21
2015-04-12,37
2015-04-19,26
2015-04-26,22
2015-05-03,20
2015-05-10,23
2015-05-17,22
2015-05-24,21
2015-05-31,22
2015-06-07,32
2015-06-14,24
2015-06-21,39
2015-06-28,29
2015-07-05,27
2015-07-12,56
2015-07-19,33
2015-07-26,27
2015-08-02,35
2015-08-09,31
2015-08-16,31
2015-08-23,47
2015-08-30,35
2015-09-06,27
2015-09-13,28
2015-09-20,25
2015-09-27,27
2015-10-04,28
2015-10-11,32
2015-10-18,27
2015-10-25,23
2015-11-01,24
2015-11-08,21
2015-11-15,23
2015-11-22,21
2015-11-29,21
2015-12-06,20
2015-12-13,23
2015-12-20,21
2015-12-27,25
2016-01-03,35
2016-01-10,25
2016-01-17,34
2016-01-24,27
2016-01-31,27
2016-02-07,25
2016-02-14,22
2016-02-21,22
2016-02-28,22
2016-03-06,21
2016-03-13,19
2016-03-20,19
2016-03-27,21
2016-04-03,18
2016-04-10,19
2016-04-17,31
2016-04-24,18
2016-05-01,19
2016-05-08,17
2016-05-15,16
2016-05-22,20
2016-05-29,16
2016-06-05,16
2016-06-12,16
2016-06-19,19
2016-06-26,21
2016-07-03,18
2016-07-10,17
2016-07-17,38
2016-07-24,20
2016-07-31,21
2016-08-07,13
2016-08-14,14
2016-08-21,14
2016-08-28,16
2016-09-04,14
2016-09-11,17
2016-09-18,15
2016-09-25,16
2016-10-02,18
2016-10-09,16
2016-10-16,37
2016-10-23,21
2016-10-30,16
2016-11-06,17
2016-11-13,16
2016-11-20,14
2016-11-27,19
2016-12-04,17
2016-12-11,16
2016-12-18,16
2016-12-25,16
2017-01-01,19
2017-01-08,19
2017-01-15,32
2017-01-22,21
2017-01-29,22
2017-02-05,23
2017-02-12,20
2017-02-19,16
2017-02-26,20
2017-03-05,19
2017-03-12,17
2017-03-19,17
2017-03-26,17
2017-04-02,18
2017-04-09,19
2017-04-16,23
2017-04-23,23
2017-04-30,20
2017-05-07,19
2017-05-14,16
2017-05-21,18
2017-05-28,17
2017-06-04,17
2017-06-11,19
2017-06-18,17
2017-06-25,15
2017-07-02,16
2017-07-09,15
2017-07-16,43
2017-07-23,22
2017-07-30,27
2017-08-06,29
2017-08-13,19
2017-08-20,17
2017-08-27,17
2017-09-03,16
2017-09-10,20
2017-09-17,19
2017-09-24,18
2017-10-01,23
2017-10-08,21
2017-10-15,29
2017-10-22,21
2017-10-29,20
2017-11-05,22
2017-11-12,17
2017-11-19,16
2017-11-26,22
2017-12-03,19
2017-12-10,22
2017-12-17,20
2017-12-24,23
2017-12-31,28
2018-01-07,25
2018-01-14,24
2018-01-21,54
2018-01-28,36
2018-02-04,38
2018-02-11,28
2018-02-18,28
2018-02-25,33
2018-03-04,43
2018-03-11,34
2018-03-18,27
2018-03-25,33
2018-04-01,31
2018-04-08,30
2018-04-15,47
2018-04-22,30
2018-04-29,24
2018-05-06,23
2018-05-13,22
2018-05-20,38
2018-05-27,26
2018-06-03,30
2018-06-10,36
2018-06-17,40
2018-06-24,41
2018-07-01,31
2018-07-08,42
2018-07-15,100
2018-07-22,43
2018-07-29,42
2018-08-05,30
2018-08-12,33
2018-08-19,33
2018-08-26,33
2018-09-02,27
2018-09-09,27
2018-09-16,26
2018-09-23,25
2018-09-30,28
2018-10-07,33
2018-10-14,50
2018-10-21,35
2018-10-28,32
2018-11-04,25
2018-11-11,28
2018-11-18,23
2018-11-25,25
2018-12-02,26
2018-12-09,25
2018-12-16,26
2018-12-23,31
2018-12-30,35
2019-01-06,40
2019-01-13,61
2019-01-20,32
2019-01-27,29
2019-02-03,32
2019-02-10,30
2019-02-17,26
2019-02-24,27
2019-03-03,25
2019-03-10,22
2019-03-17,26
2019-03-24,23
2019-03-31,26
2019-04-07,28
2019-04-14,33
2019-04-21,25
2019-04-28,26
2019-05-05,21
2019-05-12,23
2019-05-19,20
2019-05-26,20
2019-06-02,22
2019-06-09,21
2019-06-16,21
2019-06-23,19
2019-06-30,19
2019-07-07,25
2019-07-14,54
2019-07-21,35
2019-07-28,25
2019-08-04,26
2019-08-11,22
2019-08-18,24
2019-08-25,20
2019-09-01,19
2019-09-08,22
2019-09-15,25
2019-09-22,26
2019-09-29,22
2019-10-06,22
2019-10-13,36
2019-10-20,24
2019-10-27,23
2019-11-03,20
