,asin,product_name,product_rating,product_rate_count,category,description
0,B01B5RJ0XY,iExcell 100 Pcs Black 9 mm Cable Tie Base Saddle Type Mount Wire Holder,4.5 out of 5 stars,24 ratings,"['Electronics', 'Accessories & Supplies', 'Cord Management', 'Cable Ties']","['✔ Product Name : Cable Tie Mount;Color : Black', '✔ Material : Plastic; Dimension : 23 x 16 x 9mm / 0.9"" x 0.6"" x 0.4"" (L*W*H)', '✔ Screw Hole Dia. : 5mm/ 0.2"";Tie Mount Hole Width : 9mm / 0.35""', '✔ Total Weight : 160g', '✔ Package : 100 Pcs Cable Tie Mount']"
1,B01FUYWMII,"USB Type-c Adapter, Acessorz high Speed USB Type-c 3.0 Adapter for Google Pixel 2 XL …",5.0 out of 5 stars,2 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Computer Cable Adapters', 'USB-to-USB Adapters']","['Make sure this fits\nby entering your model number.', '✔ iPhone 6 6s Plus Case, made of high quality plastic and anti-stretch TPU rubber, this case will provide full-around protection to your iPhone 6 6s Plus (5.5 inch) from bump, drop and scratch.', '✔ High impact with very cool Gundam series style design,Four corners and edges are reinforced especially for more protection. Bumped cutout especially protects iPhone camera.', '✔ Quick and easy access to ports and buttons. Innovative new button design ensures an extremely easy to press button experience for your iPhone 6 6s Plus', '✔ Three layers full protection from drop scratch and shock, with kickstand on the back adjustable for different view angle', '✔ The multifunctional case has a slider room cover, can easily hold 2 cards (credit/ID) or some cash in the case. Replace your wallet, make your life more convenient.']"
2,B01HBSB7XC,Nalpar 6 x 10 feet Green Chromakey Backdrop Background Screen to Enhance Your Photography; Photo-Video Studio with 4 Heavy Duty Backdrop Clamps,4.4 out of 5 stars,72 ratings,"['Electronics', 'Camera & Photo', 'Lighting & Studio', 'Photo Studio', 'Backgrounds']","['Make sure this fits\nby entering your model number.', 'SMART CONSTRUCTION: Made of the best quality opaque materials. Designed in a way to absorb most of the light coming from the front but to reflect that from the backside; i.e. less noise, best pic.', 'EASY TO HANDLE: Carry wherever you want; no extra care required nor any need to iron every time if folded carefully. Just hang from the 4’’ Rod Pocket and click that next sensational photograph.', 'DURABLE: Made of high-quality fabric – don’t tear easily and is over-locked with four-layer edges to deploy further sturdiness. Plus pack attunes to minimize wrinkles, i.e. offers the smoothest set.', 'A MUSLIN FOR EVERYONE: Provides the best background for the amazing pictures whether you’re a professional or an amateur, who require a home studio or a new background color; it fits each expectation.', 'MORE BANG FOR YOUR BUCK: It’s already a steal for the price. Yet, we offer Four high quality clamps to smoothen it for free and a storage bag.']"
3,B01FV2HJFU,"Aduro Tablet Gooseneck Universal Mount, Solid Grip 360 Rotating Flexible Hands-Free Viewing Stand for iPad, Galaxy & All Tablets, White",3.8 out of 5 stars,638 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Stands']","['Make sure this fits\nby entering your model number.', 'Position your tablet any way you like with this flexible mount which allows for hands-free viewing of your device, Perfect for night-time or office use Secures to countertops and desks and rotates a full 360Âº so you can swap between horizontal and vertical viewing orientations (Especially helpful when you\'re cooking or studying) Plastic clamp with two rubberized grips Works on surfaces up to 3\' thick, Length of neck is 24"" Universal fit - Adjusts from 4"" to 10.5"" to fit your smartphones or tablets, you can have it hang over you while in bed, or have it set up at eye level on a desk. Anything is possible. Aduro lifetime included - for complete piece of mind. Aduro - Protect what you love!']"
4,B01CS5O9YC,RCA to HDMI Video Converter - Tendak AV CVBS Composite to HDMI Adapter Supports PAL NTSC with Powered USB Charger for TV PC PS3 Xbox STB Blue-Ray DVD,3.7 out of 5 stars,16 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Video Converters']","['RCA/ AV to HDMI Converter will converts composite signal (from yellow, red, white cables) to HDMI signal (smart HDTV / HD monitor / HD projector, Upscale 720P / 1080P)', 'Support PAL, NTSC3.58, NTSC4.43, SECAM, PAL/M, PAL/N standard TV formats input.', 'Compatible with PS3/ STB/ Xbox VHS/ VCR/ Blue-Ray DVD Players Projector.', 'Powered by standard 5V/1A (It comes 60cm Mini USB port cable and USB wall charge)', 'Warranty: 18 Months Limitted Warranty, Lifetime Customer Services and Technical Support']"
5,B01FJABIEM,"Etubby Adjustable Desktop Microphone Stand Suspension Mic Clip Boom Studio Scissor Arm Stand for Radio Broadcasting Studio, Voice-Over Sound Studio, Stages, and TV Stations",4.0 out of 5 stars,162 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Audio & Video Accessories', 'Webcam Stands & Mounts']","['Make sure this fits\nby entering your model number.', 'Heavy Duty Carry: Made out of high quality steel frame with super-strong springs, ABS plastic clip mic holder, very sturdy and durable, designed for supporting almost all microphones up to 3.3 pounds / 1.5KG', 'Stability and Safety: Dual suspension springs on each boom arm, very stable for using your microphone without shake and prevent microphone from suddenly dropping', 'Adjustability: Folding type, convenient to carry around, and the steel frame with the adjustable screw allow you adjust the suitable angle & height to show your perfect voice', 'Functional: Suitable for almost all microphones, adjustable aluminium alloy clamp for placement on uneven surfaces (Thickness within 5.3cm)', 'Multipurpose: Compact microphone stand ideal designed for any stores, families, stages, studios, broadcasting and TV stations, etc.']"
6,B01DDAJCKW,"Shutter Release for Canon, pangshi RS-60E3 LCD Wired Timer Remote Control for Canon T5i T4i T2i T1i XT XTi XS XSi 60D G16 G15 G12 G11 G1X 70D 60Da 60D T6s T6i T3i T3 760D 100D 550D 1100D DSLR Camera",4.4 out of 5 stars,84 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Telescope & Microscope Accessories', 'Telescope Accessories', 'Remote Controls']","['Make sure this fits\nby entering your model number.', '-Main functions: Self-timer, interval timer, long exposure timer, exposure count control, remote switch function.', '-Full functions supported as the camera shutter switch (with halfway or complete pressing)', '-Functions as a timer remote and can be programmed to function as an interval met,panel light for using at night', '-This wired timer remote control supports single shooting, bulb shooting, delay shooting and timer shooting modes', '-Timer delay: 0s to 99hrs 59min 59s in 1s increments.Exposure time: 0s to 99hrs 59min 59s in 1s increments. Interval: 0s to 99hrs 59min 59s in 1s increments']"
7,B01DZSVLTW,HAUPPAUGE WinTV-quadHD PCI Express TV Tuner Card 1609,4.3 out of 5 stars,180 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components', 'Internal TV Tuner & Capture Cards']","['Make sure this fits\nby entering your model number.', 'Four Tuners on a half height PCI Express board.Built-in cable TV splitter allows you to make one connection to cable TV.', ""For use in both full and half height PC's. Supports four tuner picture-in-picture"", 'Watch, pause and record up to four ATSC or clear QAM HD TV programs at the same time', 'Note-if your pc is not fast enough, you might see jerky live tv video but tv recordings will be fine', 'Please Note: Kindly refer the User Manual before use..Not all cable TV networks send clear QAM channels. Please check with your local cable operator for the availability of clear QAM digital cable TV']"
8,B01CE6PQFG,0,0,0,0,0
9,B01EKYG53M,Hermitshell Hard Travel Case Fits Logitech Wireless Keyboard K360 920-004088,4.4 out of 5 stars,34 ratings,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Basic Cases']","['Make sure this fits\nby entering your model number.', 'Hermitshell Hard Travel Storage Carrying Case Bag.', 'Protect your favorite device from bumps dents and scratches.', 'Made to fit Logitech Wireless Keyboard K360 920-004088.', 'Material: EVA ,Color: Black.', 'For sale is case only (device and accessories are sold separately).']"
