,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B01FQSC2I8,"Aocome 4 Port Mini USB 3.0 Hub with Individual Power Switches and LEDs,High-Speed Data Transfer,31 inches Long USB 3.0 Cable,for Windows PC MacBook iMac Mac Mini Laptop Notebook Surface",Aocome,3.8 out of 5 stars,47 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Hubs']","['Make sure this fits\nby entering your model number.', 'The shell is made from ABS material with special coating,feature fireproof,high-temperature endurable,shock resistance, Anti-fingerprints and environmentally friendly;', 'Compatible with USB 3.0 and backwards compatible with USB 2.0; USB 3.0 Cable length: 31 inches, longer than other USB Hubs in the market', 'Saves on syncing time with data transfer rates of up to 5 Gbps (much faster than USB 2.0)', 'Driver free, Plug & Play and Hot Swappable. Compatible with windows XP/Vista/7/8/10 and Mac OS', 'Lightweight and compact size,so you can put it in your pocket and travel. Come with individual power switches and Led blue lights.']"
1,B00MIQUJQ4,Mudder Portable USB Flexible Stick Dimmable Touch Switch LED White Light Lamp for Laptop Computer PC,Mudder,3.8 out of 5 stars,354 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'USB Gadgets', 'USB Lamps']","['Make sure this fits\nby entering your model number.', 'USB lamp with touch switch, just touch the sensor at the end of the stick to turn on/on the lamp, long press the on/off sensor to adjust the brightness level', 'Plugs into any USB port', 'Flexible, snake-like bendable metal neck allows multiple positions adjustable', '10-LED lights for maximum illumination', 'Great for the notebook traveler']"
2,B00WZESQ7S,"Kastar HHR-P104 Battery (4-Pack), Type 29, NI-MH Rechargeable Cordless Telephone Battery 3.6V 1000mAh, Replacement for Panasonic HHR-P104 HHR-P104A,23968 439024 439025 439026 439030 439031,KX-FG6550 KX-FPG391 KX-TG2302 KX-TG230 KX-TG2312 KX-TG2355W KX-TG2356 KX-TG2357 KX-TG2382B KX-TG2386B KX-TG2388B KX-TG2396...Compatible Again & Again STB941,Battery Biz B-779,Dantona BATT104, Empire CPH496, Energizer ERP104,GE TL96411,TL26411,TL86411,GP GP85AAALH3BXZ,Hi Capacity B779,Interstate Battery TEL0006",Kastar,4.1 out of 5 stars,23 ratings,"['Electronics', 'Accessories & Supplies', 'Telephone Accessories', 'Batteries']","['Make sure this fits\nby entering your model number.', 'Kastar Brand Replacement NI-MH Battery. High Quality, Long Lasting and Manufacture Price.', 'The Battery 100% Compatible with the Original Batteries and Chargers.', 'High Capacity. Use high quality Japanese Cells for longer battery life with no Memory Effect.', 'Use Integrated Japanese microchip which can prevent the overcharge and overdischarge.', 'The Battery Include 30-DAY Money Back and 3-YEAR Manufacturer Warranty.']"
3,B00T5J6GK0,"G-CordÂ 18 Keys Wireless USB Numeric Keypad for iMac, MacBook, Laptop/Notebook, Desktop/PC Computer Compatible with Windows and OS X System",G-Cord,4.4 out of 5 stars,363 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Input Devices', 'Numeric Keypads']","['Make sure this fits\nby entering your model number.', ""【SIMPLE SETUP】: It’s easy to get started—you just plug the receiver into a USB port and start crunching numbers right away. Keys are easy and silent to press, greatly speed up your productivity! Rubber anti-slip pad at the bottom,Stays in place - won't slip or slide"", '【SOLID, PORTABLE DESIGN】:easy to take with you, so you can work confidently and quickly—wherever and whenever.Professional 18 full-size and concave keys design, wireless 10 keys, applicated in sock, notebook computer, banking, etc. The keycaps life of more than 10 million times', '【ADVANCED 2.4 GHz WIRELESS】:Plug and Play, no device drivers, signal transmission stability, almost no delay, the maximum working range up to 33 ft', '【HIGH COMPATIBILITY】: Works with PC and desktop computers that have Windows XP, Vista, ME, 7, 8 2000 operating systems. Numeric keypad is not fully compatible with Mac system. (Function keys do not work, while number keys part works fine.)', '【POWER SAVING】:Power Supply by 1* AAA Battery (not include), It enters into hibernation/sleep mode automatically, energy saving, extended battery life, no power button needed of numeric keypad for laptop']"
4,B00YHQVVFG,"Fujifilm Instax Mini 5 Pack Bundle Includes Stained Glass, Comic, Stripe, Shiny Star, Airmail. 10 sheets X 5 Pack = 50 Sheets.",Fujifilm,4.5 out of 5 stars,402 ratings,"['Electronics', 'Camera & Photo', 'Film Photography', 'Film']","['Make sure this fits\nby entering your model number.', 'Full color ISO 800 Film speed', 'Fujifilm Instax Mini Instant Film 5 Pack BUNDLE, Stained Glass, Comic, Stripe, Shiny Star, Airmail : 10 sheets X 5 Pack Assort Bundle = 50 Sheets! BONUS-FREE Wiki Deals Colorful Micro Fiber Cloth!', 'Compatible with all Fujifilm Instax Mini Cameras, Polaroid Mio, 300 & Lomo Diana instant Back+', 'Made in Japan version Fresh films. Expiration date: 12 - 18 months ahead of date of purchase.', 'Image size or printed area: 62 X 46mm. /2.5 X 1.8 inches']"
5,B00KYMQ84G,"SVBONY Portable 3.5"" TFT LCD Multifunction Security Tester Wristband CCTV Camera Color with LED Lighting for Surveillance Audio Video Input",SVBONY,3.2 out of 5 stars,45 ratings,"['Electronics', 'Camera & Photo', 'Video Surveillance', 'Installation Services']","['Make sure this fits\nby entering your model number.', 'The handiest multifunctional cctv tester could help you install and test cctv cameras easily;test the view and angles of the camera;allow you test the cctv camera before installation', 'Suitable 3.5"" color lcd and clear screen with 320x240high resolution;high resolution provide more clear image;easy to identify;suit for any environment; support audio and video function', 'Convenient wristband design;easily to tied to your arm or just loop the strap on the ladder for a hands helper;could used in any place and any time', ""Comes with durable rechargeable lithium battery;support power output DC12V/0.5A only to analog signal cameras;support 3 minutes non video automatic sleep function;it doesn't work with digital camera;such as 1080hd camera;cvi camera and so on"", 'Battery last long work time;helps you set up your cameras without running back and forth to the main monitor;great time saver']"
6,B00TJI99MO,"Light Meter-HOLDPEAK 881E Digital Illuminanc/Light Meter with 0.01~300,000 Lux (0.01~30,000 FC) Measuring Ranges and 270° Rotatable Detector for LED Lights and Plants Lumen Meter",H HOLDPEAK,3.0 out of 5 stars,2 ratings,"['Electronics', 'Camera & Photo', 'Lighting & Studio', 'Light Meters & Accessories', 'Light Meters']","['Make sure this fits\nby entering your model number.', ""☀【Professional LED Light Meter】 HP-881E come with wide measure range 0.1 - 300,000Lux/1 - 30,000FC,So whether you're a photographer, a designer, or a plant lovers,this light meter will meet all your needs."", '☀【High Accuracy】±4%rdg ±0.5%f.s (less 10,000 Lux;1,000 FC) / ±5%rdg ±10dgt (over 10,000 Lux;1,000FC) ;Resolution:0.1Lux / 0.01Fc ; 0.1 - 300,000Lux/1 - 30,000FC;Measurement speed: 2 times / second.', ""☀【270 Degree Rotatable Detector】Keep an eye on the light level anywhere in the room;The light meter sensor can rotate 270 degrees, So you don't need to move the light meter,just need to rotate the degrees to measure the lights that you need."", '☀【Multifunction And Easy To Use】Rapid response, Auto Zeroing, Data Hold & Peak-Data hold switches, Low power consumption, MAX/MIN Hold,Relative Value,℃/℉ Switch,with LCD backlit', '☀【After-sales Guarantee】HOLDPEAK come with 1 year warranty and lifetime technical support.If there is any product issues, please feel free to contact us!']"
7,B0155XS9G8,"ArmorSuit Apple iPad Pro 12.9"" (2015 & 2017 Release Model) Screen Protector Max Coverage MilitaryShield Screen Protector for iPad Pro 12.9"" (2015 & 2017 Release Model) - HD Clear Anti-Bubble",ArmorSuit,3.4 out of 5 stars,59 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Screen Protectors']","['Make sure this fits\nby entering your model number.', 'ArmorSuit MilitaryShield Kit for Apple iPad Pro 12.9"" includes our MilitaryShield piece(s), Installation Solution, Squeegee, Lint-free cloth, and Installation Instructions.', 'Ultra HD Clear and amazingly thin, perfectly matches the contours of your device. Easy application with flexible material is designed for maximum full coverage on curved corners and edges on your device.', 'Created from scratch-proof, ultra-tough, optically clear, military-grade, yellow-resistant material and is custom fit for each particular gadget and device with full body and screen protection.', 'MilitaryShield has self-healing technology, which helps eliminate minor scratches on the film all by itself. Significantly reduces dust, oil and fingerprint smudges.', 'ArmorSuit stands behind the quality of our MilitaryShield products to ensure 100% Satisfaction to all of our customers. All ArmorSuit MilitaryShield products are backed by Lifetime Replacement Warranty. Made in USA.']"
8,B00WVFPQ3S,"Smart Buy 100 Pack DVD+R 4.7gb 16x White Printable Inkjet Blank Media Record Disc, 100 Disc 100pk",Smart Buy,4.2 out of 5 stars,133 ratings,"['Electronics', 'Accessories & Supplies', 'Blank Media', 'DVD+R Discs']","['AAA grade quality. 4.7gb/120min 16x DVD+R White Inkjet Hub Printable. Can use marker write on the top surface of disc. Can label the disc.', 'Save files fast! Burning time takes about 6-7 minutes when used with 16X capable DVD writers. Excellent compatibility with DVD writers, video players and DVD+ROM drivers. This write-once disc helps preserve videos, photos, music, emails and other files. Over one million readings, ensuring data protection for an extended period of time.', 'Relatively low cost per megabyte. Good for file backup before they got deleted accidentally. Long-term data archiving and storage life time.', 'No groove White Inkjet Hub Printable surface top. Use CDs/DVDs color inkjet printers to print directly on disc. White Inkjet Printable surface gives the disc a shinny color effect.', 'Quantity: 100 Pcs Total. Packing: Wrapped Shrink']"
9,B00L10CO7U,Nitecore D4 smart Charger 2015 version with LCD Display with 12V DC Cable & 2X EdisonBright AA to D Battery Converter Spacers,EdisonBright,4.3 out of 5 stars,406 ratings,"['Electronics', 'Accessories & Supplies', 'Batteries, Chargers & Accessories', 'Battery Chargers']","['Capable of charging 4 batteries simultaneously', 'Compatible with Li-ion (26650, 22650, 18650, 17670, 18490, 17500, 18350, 16340(RCR123), 14500, 10440), Ni-MH and Ni-Cd (AA, AAA, AAAA, C) rechargeable batteries', 'Optimized charging design for IMR batteries; Intelligent circuitry detects the battery type and status before entering automatic charge mode (CC, CV, dV/dt)', 'Integrated LCD panel clearly displays charging parameters and progress', '12V DC Cable & 2X EdisonBright AA to D battery converter spacers included. These allow use of rechargeable AA batteries in D battery equipment.']"
